localisation_de_la_scene;code_postal;longitude;latitude;id_localisation
100 rue oberkampf;75011;2.37829934;48.86580077;298
101 avenue de la republique;75011;2.384508;48.863529;299
101 avenue de la republique lycee prevert;75011;2.384508;48.863529;300
101 avenue de la republique lycee voltaire;75011;2.384508;48.863529;301
101 avenue des champs elysees;75008;2.30049161;48.8716817;302
101 avenue henri martin;75116;2.27172495;48.86365936;303
101 boulevard vincent auriol;75013;2.36559898;48.83374128;304
101 rue caulaincourt;75018;2.3387567799999998;48.88972493;305
101 rue de l universite assemblee nationale ;75007;2.320283;48.861153;306
101 rue de miromesnil;75008;2.315292;48.880528;307
101 rue des dames;75017;2.31806583;48.88293095;308
102 boulevard de belleville;75020;2.3790263400000002;48.87057799;309
102 boulevard de la chapelle;75018;2.35153228;48.88408835;310
102 rue damremont;75018;2.33631083;48.8933812;311
102b rue de bagnolet;75020;2.4029222;48.85947032;312
102bis rue de bagnolet;75020;2.402968;48.859546;313
103 111 boulevard de grenelle;75015;2.297753;48.849334;314
103 boulevard de port royal;75014;2.34123958;48.83823814;315
103 boulevard suchet;75016;2.25988838;48.84950862;316
103 rue de tolbiac;75013;2.36505515;48.82666095;317
104 avenue de france;75013;2.37761773;48.82998569;318
104 avenue de la republique;75011;2.3832896999999997;48.86345705;319
104 avenue des champs elysees;75008;2.30183662;48.87198211;320
104 avenue ledru rollin;75011;2.3769140699999998;48.85233442;321
104 boulevard malesherbes;75017;2.311725;48.881759;322
104 rue brancion;75015;2.30188239;48.83051098;323
104 rue de bagnolet;75020;2.40307118;48.85954878;324
104 rue jean pierre timbaud;75011;2.37876774;48.86798014;325
105 avenue simon bolivar;75019;2.37414423;48.87860386;326
105 boulevard saint michel;75006;2.340826;48.847681;327
105 quai de valmy;75010;2.36283369;48.87478017;328
105 rue de la pompe;75116;2.27875635;48.86520452;329
105 rue de tolbiac;75013;2.36469941;48.82661228;330
105 rue du faubourg du temple la java;75010;2.373872;48.871005;331
106 avenue du general leclerc;75014;2.3260089600000002;48.82613964;332
106 rue de grenelle;75007;2.3216996500000002;48.85637013;333
106 rue de longchamp;75116;2.28104327;48.86632651;334
107 avenue parmentier;75011;2.37279924;48.86737521;335
107 rue de tolbiac;75013;2.3643750199999998;48.82656959;336
107 rue jeanne d arc;75013;2.3625281;48.83404575;337
108 avenue de flandre;75019;2.37812485;48.8913842;338
108 avenue parmentier;75011;2.37338857;48.86706856;339
108 quai de jemmapes;75010;2.36364776;48.87412826;340
108 rue de meaux;75019;2.381279;48.885417;341
108 rue de tolbiac;75013;2.36223267;48.82654854;342
108 rue du ruisseau;75018;2.342309;48.897159;343
108 rue saint lazare;75008;2.325348;48.875559;344
108 rue saint lazare hotel hilton;75008;2.325348;48.875559;345
109 25 rue de la duee;75020;2.396809;48.871366;346
109 avenue des champs elysees;75008;2.29954214;48.87198301;347
109 avenue mozart;75016;2.26757852;48.85111075;348
109 boulevard voltaire;75011;2.38081972;48.85757812;349
109 rue d oberkampf;75011;2.377804;48.86583;350
109 rue de courcelles;75017;2.2998483;48.88223269;351
109 rue oberkampf;75011;2.37782174;48.86583416;352
10b avenue trudaine;75009;2.34454058;48.88170491;353
