date_de_debut;date_de_fin;fk_oeuvre;fk_realisateur_ice;id_periode
2016-05-06;2016-05-06;381;400;509
2016-05-06;2016-05-07;557;718;510
2016-05-07;2016-05-07;1;668;511
2016-05-08;2016-05-09;82;3;512
2016-05-09;2016-05-09;128;670;513
2016-05-09;2016-05-09;189;554;514
2016-05-09;2016-05-09;259;682;515
2016-05-09;2016-05-09;381;400;516
2016-05-09;2016-05-10;35;594;517
2016-05-09;2016-05-10;82;3;518
2016-05-09;2016-05-13;189;554;519
2016-05-10;2016-05-10;128;670;520
2016-05-10;2016-05-10;259;682;521
2016-05-10;2016-05-10;381;400;522
2016-05-10;2016-05-10;557;718;523
2016-05-11;2016-05-11;82;3;524
2016-05-11;2016-05-11;128;670;525
2016-05-11;2016-05-11;259;682;526
2016-05-11;2016-05-11;381;400;527
2016-05-11;2016-05-11;557;718;528
2016-05-12;2016-05-12;82;3;529
2016-05-12;2016-05-12;128;670;530
2016-05-12;2016-05-12;259;682;531
2016-05-12;2016-05-12;381;400;532
2016-05-12;2016-05-13;82;3;533
2016-05-13;2016-05-13;128;670;534
2016-05-13;2016-05-13;259;682;535
2016-05-13;2016-05-13;381;400;536
2016-05-13;2016-05-13;588;276;537
2016-05-13;2016-05-14;82;3;538
2016-05-16;2016-05-16;332;165;539
2016-05-16;2016-05-16;588;276;540
2016-05-16;2016-05-17;82;3;541
2016-05-16;2016-05-20;189;554;542
2016-05-17;2016-05-17;82;3;543
2016-05-17;2016-05-18;82;3;544
2016-05-17;2016-05-18;588;276;545
2016-05-17;2016-05-18;681;148;546
2016-05-17;2016-05-20;153;114;547
2016-05-18;2016-05-18;681;148;548
2016-05-18;2016-05-19;82;3;549
2016-05-19;2016-05-19;653;495;550
2016-05-19;2016-05-27;332;165;551
2016-05-20;2016-05-20;418;469;552
2016-05-20;2016-05-20;588;276;553
2016-05-20;2016-05-20;653;495;554
2016-05-20;2016-05-21;64;10;555
2016-05-20;2016-05-21;82;3;556
2016-05-23;2016-05-23;82;3;557
