id_lieu;realisateur_ice;fk_oeuvre;fk_localisation;date_de_debut;date_de_fin
2020-730;David Morley;539;3648;2020-10-26;2020-10-26
2016-1364;ALEXANDRE LAURENT;404;3451;2016-11-14;2016-11-14
2019-928;PIERRE PINAUD;395;4484;2019-07-31;2019-07-31
2019-604;Charlotte Schiøler;554;3046;2019-06-06;2019-06-07
2020-735;Clovis Cornillac;167;3365;2020-10-28;2020-10-28
2020-122;FREDERIC BALEKDJIAN, FABIEN NURY;634;5253;2020-02-24;2020-02-26
2019-960;VLADIMIR DE FONTENAY/MARIE MONGE;838;5038;2019-07-31;2019-08-01
2019-620;;666;4347;2019-06-17;2019-06-17
2020-737;Jacques Audiard;507;5004;2020-10-27;2020-10-27
2020-124;FREDERIC BALEKDJIAN, FABIEN NURY;634;510;2020-02-25;2020-02-26
2019-962;Paolo Barzman;399;5399;2019-08-09;2019-08-10
2019-631;Marc RECUENCO;225;5118;2019-06-22;2019-06-23
2020-740;Catherine Corsini;397;5373;2020-10-31;2020-10-31
2016-1396;GABRIEL LAFERRIERE;588;187;2016-06-06;2016-06-06
2019-966;Nicolas Guicheteau;229;1450;2019-08-23;2019-08-24
2019-636;Marc RECUENCO;225;1888;2019-06-15;2019-06-15
2020-748;JEROME CORNUAU;267;2188;2020-10-29;2020-10-29
2016-1404;THOMAS LANGMANN;737;4379;2016-09-19;2016-09-19
2019-972;ANTOINE CHEVROLLIER;81;2798;2019-08-12;2019-08-14
2019-639;Steven Lilien et Bryan Wynbrandt;277;3664;2019-06-14;2019-06-15
2020-751;YVAN ATTAL;483;705;2020-10-29;2020-10-29
2016-1411;ADITYA CHOPRA;82;3379;2016-05-03;2016-05-03
2019-647;Sylvie VERHEYDE;544;3134;2019-06-11;2019-06-12
2016-122;CEDRIC IDO;426;5076;2016-08-17;2016-08-17
2019-1712;Madame KAMIR AÏNOUZ;150;3137;2019-12-12;2019-12-12
2016-1418;KIM NGUYEN;237;4441;2016-07-19;2016-07-19
2019-655;Jean-Philippe Amar;229;1033;2019-06-11;2019-06-11
2016-157;CHRISTOPHE CAMPOS;153;1844;2016-09-09;2016-09-09
2019-1719;Tarek BOUDALI;10;5293;2019-12-09;2019-12-09
2016-1452;MYRIAM AZIZA;725;909;2016-10-10;2016-10-10
2016-774;YVAN ATTAL;432;920;2016-11-04;2016-11-05
2016-186;ERIC ROCHANT;433;469;2016-01-18;2016-01-18
2016-605;LIU CHUN-CHIEN;521;4920;2016-12-11;2016-12-11
2016-1457;JEANNE HERRY;2;2457;2016-10-06;2016-10-06
2016-778;FELIX GUIMARD;860;5415;2016-10-04;2016-10-04
2016-1698;VINCENT PRIMAULT;304;1303;2016-04-02;2016-04-02
2016-617;STEPHANE ROBELIN;259;4888;2016-05-13;2016-05-13
2016-1460;NICOLAS GUICHETEAU;588;2415;2016-12-02;2016-12-02
2016-799;JEANNE HERRY;2;5164;2016-09-30;2016-09-30
2016-1763;COLOMBE SAVIGNAC;459;5294;2016-07-05;2016-07-05
2016-620;FABIEN GORGEART;202;1868;2016-09-05;2016-09-05
2016-1471;JALIL LESPERT;308;5214;2016-02-26;2016-02-26
2016-2288;ANNE FONTAINE;559;4371;2016-09-05;2016-09-05
2016-1773;LEA MAZER;594;2932;2016-05-02;2016-05-02
2016-638;GUILLAUME CANET;273;4285;2016-02-18;2016-02-18
2016-1483;VIRGINE SCSWARTZ;529;394;2016-11-14;2016-11-14
2016-2302;STEPHANE KAZANDJIAN;67;5086;2016-07-11;2016-07-11
2020-367;FREDERIC BERTHE;59;4596;2020-08-10;2020-08-10
2016-644;OLIVIER MARCHAL;119;4339;2016-12-09;2016-12-09
2020-135;Louis Garrel;386;601;2020-02-27;2020-02-27
2016-2358;NOVEMIE LVOVSKY;189;653;2016-04-23;2016-04-23
2020-372;JULIEN RAPPENEAU;464;3924;2020-09-09;2020-09-09
2016-659;JALIL LESPERT;308;1978;2016-03-10;2016-03-10
2020-149;Antoine GARCEAU - Marc FITOUSSI;204;1009;2020-02-28;2020-02-28
2016-2370;CHANG KEUN CHUN;770;3787;2016-10-19;2016-10-19
2020-382;Sandrine Kiberlain;829;696;2020-08-19;2020-08-20
2016-675;DEARBHLA WALSH;763;5422;2016-03-30;2016-03-30
2020-161;ANNE DEPETRINI;83;1765;2020-03-02;2020-03-03
2016-2372;FRED GARSON;498;4002;2016-04-08;2016-04-08
2020-395;Didier Le Pêcheurs;684;2998;2020-08-28;2020-08-29
2016-2229;ROBIN CAMPILLO;5;474;2016-09-09;2016-09-09
2020-179;Marie Noëlle Sehr;288;4434;2020-03-04;2020-03-04
2020-840;ALEXANDRA LECLÈRE;571;2838;2020-11-13;2020-11-13
2020-431;David CHARHON;436;25;2020-09-09;2020-09-10
2016-2245;CHANG KEUN CHUN;770;4;2016-10-19;2016-10-19
2020-189;Gabriel Julien Laférriere;159;5361;2020-03-13;2020-03-13
2020-860;Anne Fontaine;662;34;2020-11-18;2020-11-18
2019-1618;Jonathan Cohen  Jeremie Galan;396;5419;2019-11-26;2019-11-26
2020-758;Francesco  MANDELLI;608;548;2020-11-03;2020-11-04
2020-194;Marcella Saïd;54;1653;2020-03-13;2020-03-13
2020-868;ROBIN SYKES;23;1021;2020-11-24;2020-11-25
2018-1316;Valérie Donzelli;606;4178;2018-11-05;2018-11-05
2020-776;JULIEN RAMBALDI;492;5152;2020-11-03;2020-11-03
2020-200;IGOR GOTESMAN;242;3690;2020-05-19;2020-05-20
2020-890;BOUVARD VIRET;262;5459;2020-11-14;2020-11-15
2018-1322;Jean Paul SALOME;387;2158;2018-11-06;2018-11-06
2020-782;Akim Isker;178;4036;2020-11-20;2020-11-21
2016-1510;EMMANUELLE BERCOT;393;462;2016-01-19;2016-01-19
2020-895;Alexandra Leclère;571;3307;2020-11-19;2020-11-19
2018-1335;Eric Toledano et Olivier Nakache;293;2742;2018-11-05;2018-11-05
2020-784;Akim Isker;178;668;2020-11-06;2020-11-06
2016-1521;GUILLAUME GALLIENNE;560;2315;2016-09-08;2016-09-08
2020-911;Valérie Donzelli;603;5157;2020-12-08;2020-12-08
2019-277;VINCENT JAMAIN;74;1250;2019-04-09;2019-04-09
2020-788;Philippe Le Guay;406;291;2020-11-06;2020-11-06
2016-1544;VIRGINE SCSWARTZ;529;1098;2016-12-02;2016-12-02
2016-861;MAXIME GOVARE;338;4346;2016-11-09;2016-11-09
2016-235;NAIDRA AYADI;467;4811;2016-12-09;2016-12-09
2020-803;Dany BOON;14;4428;2020-11-09;2020-11-11
2016-1546;YVAN ATTAL;432;1421;2016-12-12;2016-12-12
2016-894;TONIE MARSHALL;609;3345;2016-11-07;2016-11-08
2016-237;LEA MAZER;594;2550;2016-04-22;2016-04-22
2020-817;Philippe Le Guay;406;2070;2020-11-09;2020-11-10
2016-1551;ANDRE TECHINE;605;5162;2016-08-22;2016-08-26
2016-900;JULIEN ZIDI;41;3084;2016-02-29;2016-02-29
2016-269;CHRIS BRIANT;667;3830;2016-11-12;2016-11-12
2020-828;FREDERIC BERTHE / ERIC LE ROUX;59;3098;2020-11-23;2020-11-23
2020-217;IGOR GOTESMAN;242;3690;2020-05-19;2020-05-20
2016-902;FRED GARSON;498;4560;2016-04-05;2016-04-05
2016-277;ANNE FONTAINE;559;4623;2016-08-26;2016-08-26
2020-832;ALEXANDRA LECLÈRE;571;2118;2020-11-13;2020-11-13
2020-222;FRED CAVAYÉ;32;2829;2020-06-01;2020-06-05
2016-2397;STEPHEN CAFIERO;342;3500;2016-11-19;2016-11-19
2016-293;DENIS THYBAUD;332;175;2016-06-03;2016-06-03
2018-1084;Pierre-François MARTIN-LAVAL;239;3615;2018-09-11;2018-09-15
2020-241;Renaud Bertrand;320;3157;2020-06-23;2020-06-26
2016-2400;ERIC ROCHANT;433;464;2016-01-09;2016-01-09
2016-1818;GUILLAUME GALLIENNE;560;3857;2016-10-13;2016-10-13
2018-1086;Jean-Luc Ayach;839;2515;2018-09-21;2018-09-21
2020-254;Manuel Laurent - Anouar El Alami;618;2068;2020-06-21;2020-06-22
2016-2403;ALEXANDRE LAURENT;667;5405;2016-02-16;2016-02-16
2016-1836;SOPHIE LEVY;1;4024;2016-05-07;2016-05-07
2016-712;ZABOU BREITMAN;131;3092;2016-12-29;2016-12-29
2020-258;Louis Garrel;386;1269;2020-06-29;2020-06-29
2016-2405;DENIS THYBAUD;332;943;2016-05-23;2016-05-23
2016-1838;CHRISTOPHE CAMPOS;153;1191;2016-08-22;2016-08-29
2016-716;DAMIEN MARIC;469;4279;2016-02-17;2016-02-17
2020-273;Pascal Elbé;612;95;2020-06-24;2020-06-25
2016-2413;ADITYA CHOPRA;82;4105;2016-04-22;2016-04-22
2016-1868;MARTIN WOOD;532;4455;2016-12-01;2016-12-01
2016-717;FRED GARSON;498;4033;2016-04-05;2016-04-05
2019-180;Alexandre Laurent;431;86;2019-03-08;2019-03-08
2020-275;Pascal Elbé;612;1362;2020-06-25;2020-06-25
2016-2448;DOMINIC SAVAGE;765;4997;2016-10-20;2016-10-20
2020-459;Anais Volpé;230;2520;2020-09-19;2020-09-19
2016-724;JEAN FRANCOIS DAVY;850;2201;2016-06-06;2016-06-07
2019-182;Alexandre Laurent;431;1796;2019-03-04;2019-03-05
2016-15;NADIR MOKNECHE;526;4025;2016-04-13;2016-04-13
2016-2460;LISA AZUELOS;175;1681;2016-03-08;2016-03-08
2020-478;Charles Van Tieghem;265;4495;2020-09-15;2020-09-15
2016-731;LAURENT PERREAU;381;2245;2016-05-12;2016-05-12
2019-510;Douglas Attal;164;4222;2019-05-14;2019-05-14
2016-30;MAXIME GOVARE;338;3174;2016-09-28;2016-09-28
2016-2479;LEO KARMANN;530;3830;2016-05-24;2016-05-24
2020-492;Frederic TELLIER;278;5249;2020-09-25;2020-09-25
2016-738;GUILLAUME CANET;273;2929;2016-02-18;2016-02-18
2019-1472;Thierry De Peretti;473;1863;2019-11-04;2019-11-04
2016-34;CHANG KEUN CHUN;770;4331;2016-10-14;2016-10-14
2020-931;Valérie Urrea et Nathalie Masduraud;283;693;2020-12-01;2020-12-02
2020-517;Anais Volpé;230;2184;2020-10-08;2020-10-08
2019-1486;Bruno Dumont;627;3487;2019-11-12;2019-11-12
2016-1606;LEONOR SERRAILLE;328;1721;2016-02-19;2016-02-19
2020-949;JULIEN RAMBALDI;492;1714;2020-11-23;2020-11-23
2019-309;Ludovic COLBEAU JUSTIN;447;4231;2019-03-26;2019-03-26
2019-1495;JEREMY MINUI;170;4234;2019-11-05;2019-11-05
2016-1624;MAURICE BARTHELEMY;489;1765;2016-09-21;2016-09-21
2020-975;Kilian Riedhof;854;127;2020-12-10;2020-12-10
2019-311;Ziad DOUEIRI;114;2582;2019-03-22;2019-03-23
2019-1498;Thierry De Peretti;473;1671;2019-11-06;2019-11-06
2016-1635;LIDIA TERKI;636;3623;2016-02-22;2016-02-22
2016-911;CHANG KEUN CHUN;770;1347;2016-10-12;2016-10-12
2019-335;Tristan SEGUELA;206;1094;2019-03-21;2019-03-22
2018-842;Simon Bouisson;416;1139;2018-07-25;2018-07-27
2016-1638;TONIE MARSHALL;609;2392;2016-11-04;2016-11-05
2016-913;FREDERIC MERMOUD;229;3251;2016-11-07;2016-11-07
2019-339;Alex Zamm;735;5052;2019-04-02;2019-04-02
2018-867;Jean-Philippe Amar;229;1905;2018-08-01;2018-08-03
2016-1652;NICOLAS BEDOS;585;1517;2016-02-04;2016-02-04
2016-923;XAVIER LEGRAND;337;3943;2016-07-08;2016-07-08
2019-356;ADRIEN PIQUET-GAUTHIER ET SIMON ISTOLAINEN;101;584;2019-03-21;2019-03-21
2018-871;Julius Berg;620;3656;2018-07-25;2018-07-26
2016-927;JULIEN HALLARD;493;5443;2016-08-22;2016-08-22
2019-357;Noemie Saglio - Renaud Bertrand;649;2349;2019-04-01;2019-04-03
2018-874;PHILIPPE LACHEAU;601;3363;2018-08-01;2018-08-01
2019-274;JULIEN ZIDI;39;1142;2019-03-11;2019-03-11
2016-2499;COLOMBE SAVIGNAC;459;5340;2016-07-05;2016-07-05
2016-320;NOVEMIE LVOVSKY;189;857;2016-05-09;2016-05-09
2019-232;Claus DREXLER;820;4897;2019-03-11;2019-03-11
2019-625;Charlotte Schiøler;554;4899;2019-06-14;2019-06-15
2016-2503;DAN OCCO;506;385;2016-02-12;2016-02-12
