type_de_tournage;titre;fk_societe_prod;id_oeuvre
Série TV;leo mattei;271;468
Série TV;les 7 nains et moi;304;469
Long métrage;les affames;253;470
Long métrage;les amis des amis;400;471
Long métrage;les amours d anais;262;472
Long métrage;les annees 10 - l'infiltre;266;473
Série Web;les aventures de richard;150;474
Long métrage;les beaux esprits;303;475
Série TV;les beaux malaises;445;476
Long métrage;les bonnes intentions;138;477
Long métrage;les carnivores;90;478
Long métrage;les champs de fleurs;90;479
Long métrage;les charpentiers de babel;210;480
Long métrage;les chatouilles 2;254;481
Long métrage;les chatouilles 4;254;482
Long métrage;les choses humaines;111;483
Long métrage;les choses qu'on dit, les choses qu'on fait;311;484
Long métrage;les dents pipi au lit;85;485
Long métrage;les dents, pipi, au lit.;85;486
Long métrage;les deux alfred;476;487
Long métrage;les estivants;17;488
Long métrage;les ex;384;489
Long métrage;les fantasmes;291;490
Long métrage;les fantomes d'ismael;476;491
Long métrage;les femmes du square;254;492
Long métrage;les filles de reims;266;493
Long métrage;les footeuses;19;494
Téléfilm;les heritieres;196;495
Téléfilm;les heritiers;405;496
Long métrage;les heroiques;455;497
Série TV;les hommes de l'ombre;285;498
Long métrage;les hommes de namsan;215;499
Long métrage;les jeunes amants;148;500
Long métrage;les joueurs;446;501
Long métrage;les meilleures;9;502
Série TV;les meufs;132;503
Téléfilm;les michetonneuses;199;504
Long métrage;les mignonnes;62;505
Série TV;les mysteres de l'amour;203;506
Long métrage;les olympiades;346;507
Série TV;les optimistes;408;508
Long métrage;les plus belles annees;244;509
Long métrage;les promesses;5;510
Série TV;les rivieres pourpres;423;511
Série TV;les sauvages;107;512
Série TV;les sports insolites;67;513
Téléfilm;les temps des egares;114;514
Long métrage;les tetes de l'emploi;388;515
Long métrage;les traducteurs;454;516
Long métrage;les tuche 3;141;517
Long métrage;les vetos;250;518
Long métrage;les vieux fourneaux;384;519
Série Web;let's have phone;29;520
Série TV;liang sheng;212;521
Long métrage;libres;465;522
Série TV;like me;382;523
Long métrage;lisa redler;262;524
Long métrage;lola et ses freres;332;525
Long métrage;lola pater;68;526
Série Web;lolywood - dans tes reves le sport;76;527
Série Web;lolywood - la bible de l'homme;76;528
Long métrage;loue moi;324;529
Série TV;loulou;228;530
Long métrage;love addict;324;531
Téléfilm;love locks;256;532
Série TV;lrdm - patriot season 2;341;533
Long métrage;lucia;50;534
Long métrage;lucky;3;535
Long métrage;lucky;235;536
Long métrage;lucky;425;537
Long métrage;lumiere amoureuse;220;538
Série TV;luther;424;539
Long métrage;luz;31;540
Long métrage;ma mere est folle;28;541
Série TV;ma pire angoisse;268;542
Long métrage;madame;272;543
Long métrage;madame claude;242;544
Long métrage;made in china;317;545
Série TV;maggie e bianca fashion friends;385;546
Série TV;magic kids;128;547
Long métrage;mais vous etes fous;389;548
Série Web;make up on the way;119;549
Long métrage;malawa;141;550
Long métrage;mali twist;24;551
Long métrage;maman a tort;47;552
Série Web;manuel d'escroqueries franco-chinoise;139;553
Long métrage;maoussi;72;554
Long métrage;mariage blanc;48;555
Série Web;marianne;136;556
Long métrage;marie francine;389;557
Série TV;martin sexe faible;325;558
Long métrage;marvin;93;559
Long métrage;maryline;272;560
Série TV;mathieu et thomas au bord de la crise de nerf;175;561
Série TV;mathieu et thomas contre le monde entier;177;562
Long métrage;mauvaises herbes;347;563
Long métrage;maya;262;564
Long métrage;mdr / maison de retraite;324;565
Long métrage;meme pas froid;389;566
Série Web;merci de ne pas toucher;214;567
Série TV;mere et fille;198;568
Long métrage;merveilles a montfermeil;155;569
Long métrage;mes provinciales;311;570
Long métrage;mes tres chers enfants;250;571
Long métrage;mes tresors;384;572
Série Web;miami vine;98;573
Long métrage;mignonnes;62;574
Série TV;mike;208;575
Long métrage;miss;486;576
Série TV;missions 2;135;577
Série TV;modern family;163;578
Série TV;modern family 11;163;579
Long métrage;mon bebe;280;580
Long métrage;mon chien stupide;396;581
Long métrage;mon cousin;141;582
Long métrage;mon inconnue;486;583
Long métrage;mon poussin;250;584
Long métrage;monsieur et madame adelman;254;585
Série Web;motw 2;485;586
Long métrage;mrs mills;252;587
Série TV;munch;203;588
Long métrage;musique de chambre;262;589
Téléfilm;mystere a l'elysee;445;590
Téléfilm;mystere a la sorbonne;445;591
Téléfilm;mystere au louvre;445;592
Téléfilm;mystere place vendome,;445;593
Téléfilm;nadia;323;594
Long métrage;namaste england;189;595
Série TV;narvalo;299;596
Long métrage;neuilly sa mere, sa mere;469;597
Série TV;new horizon;103;598
Série TV;nexity - a chacun sa ville -;120;599
Long métrage;ni une ni deux;195;600
Long métrage;nicky larson;48;601
Série TV;noir enigma;41;602
Série TV;nona et ses filles;170;603
Série Web;normal;483;604
Long métrage;nos annees folles;38;605
Long métrage;notre dame;389;606
Série TV;nox;169;607
Long métrage;nuit blanche et gros calins;403;608
Long métrage;numero une;436;609
Série TV;nurses;152;610
Téléfilm;oblomov;25;611
Long métrage;on est fait pour s'entendre;200;612
Long métrage;on sourit pour la photo;384;613
Long métrage;on the french riviera;59;614
Série TV;one woman;225;615
Long métrage;oneline billie;209;616
Série TV;oogappels;178;617
Série Web;or noir;64;618
Long métrage;oranges sanguines;290;619
Série TV;osmosis;79;620
Long métrage;oss 117 : alerte rouge en afrique noire;291;621
Long métrage;otez moi d'un doute;213;622
Long métrage;oui mademoiselle;56;623
Série TV;oups;116;624
Long métrage;overdrive;345;625
Série TV;palmashow 4;65;626
Long métrage;par un demi clair matin;10;627
Long métrage;par-dessus l'epaule de jonas;118;628
Long métrage;paranoia park 2021;270;629
Long métrage;parent d'eleve;389;630
Téléfilm;paris brest;191;631
Série TV;paris opera;106;632
Série Web;paris passions;275;633
Série TV;paris police 1900;444;634
Série TV;paris va bien;246;635
Long métrage;paris, la blanche;112;636
Long métrage;passion simple;262;637
Long métrage;patrick;2;638
Série TV;patriot;341;639
Long métrage;paula;27;640
Long métrage;petite fleur;296;641
Long métrage;petite lecon d'amour;68;642
Série TV;philharmonia;302;643
Série Web;philips global heart watch;387;644
Téléfilm;pieges;78;645
Long métrage;place des victoires;475;646
Long métrage;plaire...;263;647
Série TV;plan b;169;648
Série TV;plan coeur;327;649
Série TV;platane;12;650
Long métrage;play;87;651
Long métrage;playlist;224;652
Long métrage;plonger;321;653
Long métrage;police;149;654
Série TV;potomac mulot floquet mare et champ de mars;163;655
Série TV;potomac st merri et invalides 2606;163;656
Série TV;potomac suite 25;163;657
Série TV;pour sarah;126;658
Téléfilm;pourquoi je vis;442;659
Long métrage;premiere annee;257;660
Long métrage;premieres vacances;446;661
Long métrage;presidents;95;662
Téléfilm;presunto culpable;1;663
Série Web;preview;394;664
Série Web;prime lolywood - une nuit infernale;76;665
Long métrage;production 46;188;666
Série TV;profilage;57;667
Série TV;profilage 79 et 80;57;668
Série TV;profilage 81 et 82;57;669
Série TV;profilage 88;57;670
Série TV;profilage 90;57;671
Série TV;profilage ep.93;57;672
Série Web;projet leviathan;105;673
Long métrage;qu'est-ce qu'on a encore fait au bon dieu;250;674
Série TV;qu'est-ce qu'on attend pour etre heureux;171;675
Série TV;quadras;49;676
Long métrage;quand on crie au loup;479;677
Téléfilm;quand sort la recluse;355;678
Long métrage;quand tu danses;134;679
Long métrage;que le diable nous emporte;233;680
Long métrage;raid dingue;358;681
Série Web;ramadan a paris;108;682
Série TV;rancho rosa;33;683
Série TV;rebecca;129;684
Série TV;red oaks;159;685
Long métrage;remember me;149;686
Long métrage;remise de peine;264;687
Série TV;remix 1;129;688
Série Web;reportage pour l'aed;23;689
Série Web;retro;40;690
Téléfilm;retroscopie;381;691
Long métrage;rg02;186;692
Série TV;riviera;361;693
Série TV;riviere rouge;440;694
Long métrage;robuste;117;695
Long métrage;rock on 2;201;696
Long métrage;rodin;255;697
Série TV;romance;97;698
Long métrage;rosa;411;699
Long métrage;rose;159;700
Long métrage;ru ying sui xin;184;701
Long métrage;rumba la vie;167;702
Série TV;sacha;336;703
Série TV;sam;46;704
Série TV;sans mensonges;39;705
Long métrage;sauver ou perir;412;706
