date_de_debut;date_de_fin;fk_oeuvre;realisateur_ice;id_periode
2016-03-28;2016-03-28;127;arnaud malherbe;297
2016-03-28;2016-03-28;498;fred garson;298
2016-03-29;2016-03-29;127;arnaud malherbe;299
2016-03-29;2016-03-29;189;novemie lvovsky;300
2016-03-29;2016-03-29;498;fred garson;301
2016-03-29;2016-03-29;515;franck magnier;302
2016-03-29;2016-03-29;542;vladimir rodionoff;303
2016-03-29;2016-03-29;714;david moreau;304
2016-03-29;2016-03-29;718;audrey dana;305
2016-03-29;2016-03-29;738;xiancheng deng;306
2016-03-29;2016-03-30;175;lisa azuelos;307
2016-03-29;2016-03-30;542;vladimir rodionoff;308
2016-03-29;2016-03-31;526;nadir mokneche;309
2016-03-29;2016-03-31;584;frederic forestier;310
2016-03-30;2016-03-30;41;eric le roux;311
2016-03-30;2016-03-30;175;lisa azuelos;312
2016-03-30;2016-03-30;355;nathalie marchak;313
2016-03-30;2016-03-30;498;fred garson;314
2016-03-30;2016-03-30;738;xiancheng deng;315
2016-03-30;2016-03-30;763;dearbhla walsh;316
2016-03-30;2016-03-31;189;novemie lvovsky;317
2016-03-30;2016-03-31;355;nathalie marchak;318
2016-03-30;2016-04-02;718;audrey dana;319
2016-03-30;2016-04-13;127;arnaud malherbe;320
2016-03-31;2016-03-31;41;eric le roux;321
2016-03-31;2016-03-31;169;arnauld mercadier;322
2016-03-31;2016-03-31;332;stephan kopecky;323
2016-03-31;2016-03-31;418;martin provost;324
2016-03-31;2016-03-31;498;fred garson;325
2016-03-31;2016-03-31;738;xiancheng deng;326
2016-03-31;2016-03-31;763;dearbhla walsh;327
2016-04-01;2016-04-01;41;eric le roux;328
2016-04-01;2016-04-01;175;lisa azuelos;329
2016-04-01;2016-04-01;189;novemie lvovsky;330
2016-04-01;2016-04-01;738;xiancheng deng;331
2016-04-01;2016-04-02;332;stephan kopecky;332
2016-04-01;2016-04-02;526;nadir mokneche;333
2016-04-01;2016-04-02;584;frederic forestier;334
2016-04-02;2016-04-02;304;vincent primault;335
2016-04-02;2016-04-02;738;xiancheng deng;336
